Player,,,Team
Stanley Johnson,"Stanley Johnson,","if Stanley Johnson then TOR else end,",TOR
Maurice Harkless,"Maurice Harkless,","if Maurice Harkless then LAC else end,",LAC
Michael Kidd-Gilchrist,"Michael Kidd-Gilchrist,","if Michael Kidd-Gilchrist then CHA else end,",CHA
Ivica Zubac,"Ivica Zubac,","if Ivica Zubac then LAC else end,",LAC
Mikal Bridges,"Mikal Bridges,","if Mikal Bridges then PHO else end,",PHO
Jakob Poeltl,"Jakob Poeltl,","if Jakob Poeltl then SAS else end,",SAS
Gorgui Dieng,"Gorgui Dieng,","if Gorgui Dieng then MIN else end,",MIN
Marvin Williams,"Marvin Williams,","if Marvin Williams then CHA else end,",CHA
Kyle Anderson,"Kyle Anderson,","if Kyle Anderson then MEM else end,",MEM
Justin Holiday,"Justin Holiday,","if Justin Holiday then IND else end,",IND
Doug McDermott,"Doug McDermott,","if Doug McDermott then IND else end,",IND
Justin Jackson,"Justin Jackson,","if Justin Jackson then DAL else end,",DAL
Kyle Korver,"Kyle Korver,","if Kyle Korver then MIL else end,",MIL
Shabazz Napier,"Shabazz Napier,","if Shabazz Napier then MIN else end,",MIN
P.J. Tucker,"P.J. Tucker,","if P.J. Tucker then HOU else end,",HOU
Jusuf Nurkic,"Jusuf Nurkic,","if Jusuf Nurkic then POR else end,",POR
Emmanuel Mudiay,"Emmanuel Mudiay,","if Emmanuel Mudiay then UTH else end,",UTH
Ersan Ilyasova,"Ersan Ilyasova,","if Ersan Ilyasova then MIL else end,",MIL
Michael Porter Jr.,"Michael Porter Jr.,","if Michael Porter Jr. then DEN else end,",DEN
Pau Gasol,"Pau Gasol,","if Pau Gasol then POR else end,",POR
Alfonzo McKinnie,"Alfonzo McKinnie,","if Alfonzo McKinnie then GSW else end,",GSW
Royce O'Neale,"Royce O'Neale,","if Royce O'Neale then UTH else end,",UTH
Mason Plumlee,"Mason Plumlee,","if Mason Plumlee then DEN else end,",DEN
Evan Turner,"Evan Turner,","if Evan Turner then ATL else end,",ATL
Willy Hernangomez,"Willy Hernangomez,","if Willy Hernangomez then CHA else end,",CHA
Josh Okogie,"Josh Okogie,","if Josh Okogie then MIN else end,",MIN
Lonnie Walker IV,"Lonnie Walker IV,","if Lonnie Walker IV then SAS else end,",SAS
Troy Brown Jr.,"Troy Brown Jr.,","if Troy Brown Jr. then WAS else end,",WAS
Rajon Rondo,"Rajon Rondo,","if Rajon Rondo then LAL else end,",LAL
Anthony Tolliver,"Anthony Tolliver,","if Anthony Tolliver then POR else end,",POR
Jalen Brunson,"Jalen Brunson,","if Jalen Brunson then DAL else end,",DAL
DeAndre' Bembry,"DeAndre' Bembry,","if DeAndre' Bembry then ATL else end,",ATL
Denzel Valentine,"Denzel Valentine,","if Denzel Valentine then CHI else end,",CHI
Mohamed Bamba,"Mohamed Bamba,","if Mohamed Bamba then ORL else end,",ORL
Cory Joseph,"Cory Joseph,","if Cory Joseph then SAC else end,",SAC
Mike Muscala,"Mike Muscala,","if Mike Muscala then OKC else end,",OKC
Tyus Jones,"Tyus Jones,","if Tyus Jones then MEM else end,",MEM
